project_id,project_name,label_id,label_name,annotation_count
205789,Image Safari: 2-pass annotation stage 2,3858433,weed,920
201743,Image Safari: 2-pass annotation stage 1,4029910,Foreground weed,566
201743,Image Safari: 2-pass annotation stage 1,3747260,Foreground crop,650
201743,Image Safari: 2-pass annotation stage 1,3747261,Plant part,1215
201743,Image Safari: 2-pass annotation stage 1,4030708,DISCARD IMAGE,8
196866,Image safari annotation time estimation,3643673,stem,414
196866,Image safari annotation time estimation,3643669,leaf,2201
196866,Image safari annotation time estimation,3643671,grain,47
196866,Image safari annotation time estimation,3643672,flower,109
196866,Image safari annotation time estimation,3648613,residue,20
196866,Image safari annotation time estimation,3643670,pod,30
193478,Image safari demo project 1,3567945,foreground crop,282
