project_id,project_name,label_id,label_name,shape_type,annotation_count
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374562,Weed_broadleafed,points,9021
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374558,stem,points,8536
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374560,flower,points,412
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374563,Weed_narrowleafed,points,779
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5419081,Flower_closed,points,3431
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374561,fruit/pod,points,20166
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374558,stem,polygon,11193
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374562,Weed_broadleafed,polygon,6814
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374563,Weed_narrowleafed,polygon,595
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374557,leaf,polygon,989
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5419081,Flower_closed,polygon,3
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374561,fruit/pod,polygon,3
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374560,flower,polygon,2
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374562,Weed_broadleafed,mask,2284
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374563,Weed_narrowleafed,mask,208
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374558,stem,mask,4120
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374557,leaf,mask,30350
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373226,Weed_broadleafed,polygon,4507
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373220,stem,polygon,6580
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373219,leaf,polygon,3305
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373227,Weed_narrowleafed,polygon,410
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373221,Fruit_pod,polygon,3
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373224,Flower_dry,polygon,1
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373220,stem,mask,1311
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373226,Weed_broadleafed,mask,3122
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373219,leaf,mask,18766
